Chen's new columns	Reference	Publication Year	Title	Journal	DOI	GEO Accession Number	hiPSC Line (Healthy Control)	Number of Healthy Control hiPSC-CM Lines	Sex of hiPSC Line	Ancestry of hiPSC Line	hiPSC Matrix Coating	hiPSC Backbone Media	Confluency at Start of Differentiation (%)	hiPSC-CM Backbone Media	hiPSC-CM Media Supplements	Wnt Activator	Time of Wnt Activator (Start Day - End Day)	Wnt Inhibitor	Time of Wnt Inibitor (Start Day - End Day)	Day Insulin is Added (Until End Unless Noted)	Purification Protocol	Time of hiPSC-CM Purification (Start Day - End Day)	Method to Assess Differentiation Purity	Differentiation Purity (%)	hiPSC-CM Maintenance/Maturation Media (if different)	hiPSC-CM Matrix Coating if Replated	Maturation Technique: Metabolic?	Metabolic Components	Maturation Technique: Electrical Stimulation?	Maturation Technique: Passive Tension?	Maturation Technique: Other Cell Types?	Maturation Technique: Mechanical Stimulation?	Maturation Technique: Cell Alignment?	Maturation Technique: Elastomeric Surface?	Maturation Technique: Cell Derived ECM?	2D: Surface	3D: Platform Type	3D: Cell Types	3D: Type of Stromal Cell (SC)	3D: Types of Endothelial Cell (EC) 	3D: Cell Composition (CM-EC-SC)	Tissue Media	3D: Estimated Tissue Cell Density (10^6 cells/mL)	3D:Estimated Tissue size (mm2)	Immunofluorescent Imaging?	SEM or TEM	Sarcomere/Cellular Alignment Analysis?	Sarcomere Length (um)	Cell Area (um2)	T-tubules Present?	Contractile Analyses Method	Force (mN)	Stress (mN/mm2)	Upstroke Velocity (um/s)	Calcium Handling Analyses Method	Amplitude (F/F0)	Beat Rate (beats per minute)	Time to Peak (ms)	Time to Relaxation (ms)	Conduction Velocity (cm/s)	Electrophysiology Analyses Method	AP Conduction Velocity (cm/s)	AP Amplitude (mV)	Resting Membrane Potential (mV)	Max Capture Rate (Hz)	Metabolic Analyses Method	Fatty Acid Metabolism Measured?	Gene Analyses Method	Pharmacological Interventions	Disease
	Tamargo, M. A. et al. MilliPillar: A Platform for the Generation and Real-Time Assessment of Human Engineered Cardiac Tissues. ACS Biomater Sci Eng 7, 5215–5229 (2021).	2021.0	 MilliPillar: A Platform for the Generation and Real-Time Assessment of Human Engineered Cardiac Tissues	 ACS Biomater Sci Eng 7, 5215–5229 (2021)	https://doi.org/10.1021/acsbiomaterials.1c01006		WTC11, BS2	2	Male, NaN	Asian, NaN	Synthemax II-SC, Matrigel	E8	85	RPMI-1640	B27, L-ascorbic acid	CHIR99021	0-2	Wnt-C59	2-4	10	No glucose	10-13	Flow cytometry for cTnT+	85					Yes	Yes	Yes						Fibrin or collagen	CM + SC	hCF;hDF		75, 0, 25	RPMI-1640, B27, L-ascorbic acid	37.0	2	Yes		Yes				Post deflection		3.22	622	Genetically encoded sensor	0.18		210							2.7					
	Tan, Y. et al. Cell number per spheroid and electrical conductivity of nanowires influence the function of silicon nanowired human cardiac spheroids. Acta Biomater 51, 495–504 (2017).	2017.0	 Cell number per spheroid and electrical conductivity of nanowires influence the function of silicon nanowired human cardiac spheroids	 Acta Biomater 51, 495–504 (2017)	https://doi.org/10.1016/j.actbio.2017.01.029		iCell	1						iCell Maintenance Medium (CDI)	iCell Maintenance Medium (CDI)											Gelatin										ECM-coated plastic/glass	Scaffold free	CM			100, 0, 0	iCell Maintenance Medium (CDI)	0.21	0.03	Yes	TEM										2.2										OCR chamber equipped with fiber optic sensors				
	Tan, Y. et al. Silicon nanowire-induced maturation of cardiomyocytes derived from human induced pluripotent stem cells. Nano Lett 15, 2765–2772 (2015).	2015.0	 Silicon nanowire-induced maturation of cardiomyocytes derived from human induced pluripotent stem cells	 Nano Lett 15, 2765–2772 (2015)	https://doi.org/10.1021/nl502227a		iCell	1						iCell Maintenance Medium (CDI)	iCell Maintenance Medium (CDI)											Gelatin											Scaffold free	CM + NRCM			100, 0, 0	iCell Maintenance Medium (CDI)	3.0	0.09	Yes	TEM	Yes	1.8							Dye	1.5		800										PCR		
	Tang, Y. et al. Induction and differentiation of human induced pluripotent stem cells into functional cardiomyocytes on a compartmented monolayer of gelatin nanofibers. Nanoscale 8, 14530–14540 (2016).	2016.0	 Induction and differentiation of human induced pluripotent stem cells into functional cardiomyocytes on a compartmented monolayer of gelatin nanofibers	 Nanoscale 8, 14530–14540 (2016)	https://doi.org/10.1039/c6nr04545f		253G1	1			Vitronectin	E8		iCell Maintenance Medium (CDI)	B27	CHIR99021	0-1	IWP2	3-5	8			Flow cytometry for cTnT+	75									Yes			Electrospun fibers									Yes												108.0				MEA							PCR	E-4031, isoproterenol, propranolol	
	Thavandiran, N. et al. Functional arrays of human pluripotent stem cell-derived cardiac microtissues. Sci Rep 10, (2020).	2020.0	 Functional arrays of human pluripotent stem cell-derived cardiac microtissues	 Sci Rep 10, (2020)	https://doi.org/10.1038/s41598-020-62955-3		iPSCTF	1			Matrigel	HES2 maintenance media, mTeSR-1	90	iCell Maintenance Medium (CDI)	B27, GlutaMax, HEPES	CHIR99021	0-1	IWP2 and proprietary tankyrase inhibitor	3-5	5			Flow cytometry for cTnT+			Synthemax II-SC				Yes	Yes						Collagen	CM + SC	hCF		100, 0, 10	RPMI-1640, B27, HEPES, GlutaMax		2	Yes						Post deflection																		blebbistatin, isoproterenol, nifedipine	
	Thomas, T. et al. Extrusion 3D Printing of Porous Silicone Architectures for Engineering Human Cardiomyocyte-Infused Patches Mimicking Adult Heart Stiffness. ACS Appl Bio Mater 3, 5865–5871 (2020).	2020.0	 Extrusion 3D Printing of Porous Silicone Architectures for Engineering Human Cardiomyocyte-Infused Patches Mimicking Adult Heart Stiffness	 ACS Appl Bio Mater 3, 5865–5871 (2020)	https://doi.org/10.1021/acsabm.0c00572		PGP1	1	Male	Caucasian	Matrigel	mTeSR-1	85	iCell Maintenance Medium (CDI)	B27	CHIR99021	0-3	IWP4	3-4	9			Not listed	90									Yes				3D printed silicone macroporous silicone scaffold	CM			100, 0, 0	RPMI-1640, B27, FBS		100	Yes																									
	Tiburcy, M. et al. Defined engineered human myocardium with advanced maturation for applications in heart failure modeling and repair. Circulation 135, 1832–1847 (2017).	2017.0	 Defined engineered human myocardium with advanced maturation for applications in heart failure modeling and repair	 Circulation 135, 1832–1847 (2017)	https://doi.org/10.1161/CIRCULATIONAHA.116.024145		BJ1, hiPS-G1	2	Male, NaN	NaN, NaN	Matrigel	mTeSR-E8 or KO-DMEM, KOSR, L-glutamine, NEAAs, human foreskin fibroblast conditioned media, bFGF		iCell Maintenance Medium (CDI)	B27, L-ascorbic acid	Activin A, BMP4, CHIR99021, bFGF	0-3	IWP4	4-13	17	No glucose and lactate	13-17	Flow cytometry for a-actinin+	94						Yes	Yes						Collagen + matrigel	CM + SC	hCF		70, 0, 30	Isocove medium, B27, IGF-1, bFGF, VEGF, TGFB1, NEAAs, L-glutamine	30.0	1	Yes	EM		1.95			Post deflection	1.3	6.0								Patch clamp		97	-57.0				RNA-seq	isoproterenol, carbachol, CGP-20712A, CI-118551	Simulation of Heart Failure in EHM by Neurohumoral Overstimulation
	Toepfer, C. N. et al. Myosin Sequestration Regulates Sarcomere Function, Cardiomyocyte Energetics, and Metabolism, Informing the Pathogenesis of Hypertrophic Cardiomyopathy. Circulation 828–842 (2020). 	2020.0	 Myosin Sequestration Regulates Sarcomere Function, Cardiomyocyte Energetics, and Metabolism, Informing the Pathogenesis of Hypertrophic Cardiomyopathy	 Circulation 828–842 (2020)	https://doi.org/10.1161/CIRCULATIONAHA.119.042339		PGP1	1	Male	Caucasian	Matrigel	mTeSR-1	90	iCell Maintenance Medium (CDI)	B27	CHIR99021	0-1	Wnt-C59	3-5	7	No glucose	9-11				Matrigel										ECM-coated plastic/glass									Yes				2000																	Seahorse	Yes			HCM
	Toepfer, C. N. et al. SarcTrack. Circ Res 124, 1172–1183 (2019).	2019.0	 SarcTrack	 Circ Res 124, 1172–1183 (2019)	https://doi.org/10.1161/CIRCRESAHA.118.31450		PGP1	1	Male	Caucasian	Matrigel	mTeSR-1		iCell Maintenance Medium (CDI)	B27	CHIR99021	0-1	IWP4	3-5	7	No glucose with lactate	10-12				Matrigel										ECM-coated plastic/glass									Yes			1.93			Motion tracking analysis; TFM						40.0												MYK-461, CK-1827452, verapamil, propanolol	HCM
	Tomov, M. L. et al. Distinct and Shared Determinants of Cardiomyocyte Contractility in Multi-Lineage Competent Ethnically Diverse Human iPSCs. Sci Rep 6, (2016).	2016.0	 Distinct and Shared Determinants of Cardiomyocyte Contractility in Multi-Lineage Competent Ethnically Diverse Human iPSCs	 Sci Rep 6, (2016)	https://doi.org/10.1038/srep37637		in-house	1			StemAdhere	mTeSR2, TeSR-E8		iCell Maintenance Medium (CDI)	B27	CHIR99021	0-1	IWP2	3-5														Yes			Micropatterned PDMS									Yes																							RNA-seq		
	Treat, J. A., Goodrow, R. J., Bot, C. T., Haedo, R. J. & Cordeiro, J. M. Pharmacological enhancement of repolarization reserve in human induced pluripotent stem cells derived cardiomyocytes. Biochem Pharmacol 169, (2019).	2019.0	 Pharmacological enhancement of repolarization reserve in human induced pluripotent stem cells derived cardiomyocytes	 Biochem Pharmacol 169, (2019)	https://doi.org/10.1016/j.bcp.2019.08.010		WiCell	1			Matrigel	E8		RPMI-1640	B27, T3, dexamethasone	CHIR99021	0-2	IWP2, KY0211	2-6	8	No glucose with lactate	12-14				Matrigel										MEA																									MEA		100					PCR	NS3623, E4031	
	Tsan, Y. C. et al. Physiologic biomechanics enhance reproducible contractile development in a stem cell derived cardiac muscle platform. Nat Commun 12, (2021).	2021.0	 Physiologic biomechanics enhance reproducible contractile development in a stem cell derived cardiac muscle platform	 Nat Common 12, (2021)	https://doi.org/10.1038/s41467-021-26496-1		MR18, MR30, MR48, WTC11, DF19-9-11T.H	5	NaN, NaN, NaN, Male, Male	NaN, NaN, NaN, Asian, NaN	Matrigel	StemFlex		RPMI-1640	B27	CHIR99021	0-1	IWP4	3-10	6, not 12-16	No glucose with lactate	12-16	IHC a-actinin	95	RPMI-1640, DMEM, galactose, lactate, GlutaMax, pyruvate, T3, dexamethasone, torin1	Matrigel	Yes	T3, dexamethasone, Torin1					Yes	Yes		Micropatterned PDMS						RPMI-1640, DMEM, galactose,  lactate, GlutaMax, pyruvate			Yes		Yes	2.1			Motion tracking analysis			1.2	Dye	1.8	33.0				Patch clamp		121	-81.0				RNA-seq	isoproterenol, verapamil, mavacamten	
	Tsui, J. H. et al. Tunable electroconductive decellularized extracellular matrix hydrogels for engineering human cardiac microphysiological systems. Biomaterials 272, (2021).	2021.0	 Tunable electroconductive decellularized extracellular matrix hydrogels for engineering human cardiac microphysiological systems	 Biomaterials 272, (2021)	https://doi.org/10.1016/j.biomaterials.2021.120764		UC3-4 A1	1			Matrigel	mTeSR-1		RPMI-1640	B27	CHIR99021	0-1	IWP4	3-5	7			Flow cytometry for cTnT+	90					Conductive		Yes				Yes		Decellularized tissue	CM + SC	hMSC		80, 0, 20	RPMI-1640, B27	25.0	40	Yes			2.1			Post deflection	0.045		330	Dye	0.35		200			Patch clamp	35.0	-50					RNA-seq, PCR	cisapride 	
	Tsukamoto, Y., Akagi, T. & Akashi, M. Vascularized cardiac tissue construction with orientation by layer-by-layer method and 3D printer. Sci Rep 10, (2020).	2020.0	 Vascularized cardiac tissue construction with orientation by layer-by-layer method and 3D printer	 Sci Rep 10, (2020)	https://doi.org/10.1038/s41598-020-59371-y		253G1	1			MEF feeder cells	DMEM/F12 medium, supplemented with 20% (v/v) KSR, 0.1 mM 2-mercaptoethanol, MEM non-essential amino acids, and 2 mM L-glutamine with 4 ng/ml FGF-2	EB	DMEM	FBS	Activin A, BMP4, bFGF	0-2	IWR1, IWP2	2-4				IHC cTnT	90							Yes						3D printing, cell spheroids coated in fibronectin and gelatin solution	CM + EC + SC	hCF	CMVEC	37.5, 50, 12.5	DMEM, FBS	2.75	4.5	Yes		Yes				Motion tracking analysis			34																
	Ulmer, B. M. et al. Contractile Work Contributes to Maturation of Energy Metabolism in hiPSC-Derived Cardiomyocytes. Stem Cell Reports 10, 834–847 (2018).	2018.0	 Contractile Work Contributes to Maturation of Energy Metabolism in hiPSC-Derived Cardiomyocytes	 Stem Cell Reports 10, 834–847 (2018)	https://doi.org/10.1016/j.stemcr.2018.01.039		C25, UKEi003-C	2	Female, Female	Caucasian, Caucasian	Geltrex	FTDA	EB	RPMI-1640	B27, HEPES, 1-thioglycerol 	Activin A, BMP4, bFGF	0-3	DS-I-7	3-6	6, not 9-12			Flow cytometry for cTnT+	77						Yes							Fibrin	CM			100, 0, 0	DMEM, heat-inactivated horse serum, aprotinin, insulin	10.0	5		TEM					Motion tracking analysis	0.2														Metabolic flux	Yes	PCR	blebbistatin, N-benzyl-p-toluene sulfonamide	
	Uzun, A. U. et al. Ca2+-currents in human induced pluripotent stem cell-derived cardiomyocytes effects of two different culture conditions. Front Pharmacol 7, (2016).	2016.0	 Ca2+-currents in human induced pluripotent stem cell-derived cardiomyocytes effects of two different culture conditions	 Front Pharmacol 7, (2016)	https://doi.org/10.3389/fphar.2016.00300		in-house	1				FTDA	EB			Activin A, BMP4, bFGF	0-3	DS07																		ECM-coated plastic/glass	Fibrin + matrigel	CM			100, 0, 0	DMEM, heat-inactivated horse serum, aprotinin, insulin	5.0	100																	Patch clamp								nimodipine, E4031, norepinephrine, epinephrine, serotonin, ICI118,551, CP 20712A, nifedipine, mibefradil 	
	Vaidyanathan, R. et al. I K1-enhanced human-induced pluripotent stem cell-derived cardiomyocytes: an improved cardiomyocyte model to investigate inherited arrhythmia syndromes. Am J Physiol Heart Circ Physiol 310, 1611–1621 (2016).	2016.0	 I K1-enhanced human-induced pluripotent stem cell-derived cardiomyocytes: an improved cardiomyocyte model to investigate inherited arrhythmia syndromes	 Am J Physiol Heart Circ Physiol 310, 1611–1621 (2016)	https://doi.org/10.1152/ajpheart.00481.2015		iCell	1						iCell Maintenance Medium (CDI)	iCell Maintenance Medium (CDI)											Laminin			Adenoviral transfection to enhance IK1 in hiPSC-CMs							ECM-coated plastic/glass									Yes				1900												Patch clamp			-75.0						ACM
	Valarmathi, M. T., Fuseler, J. W., Davis, J. M. & Price, R. L. A novel human tissue-engineered 3-D functional vascularized cardiac muscle construct. Front Cell Dev Biol 5, (2017).	2017.0	 A novel human tissue-engineered 3-D functional vascularized cardiac muscle construct	 Front Cell Dev Biol 5, (2017)	https://doi.org/10.3389/fcell.2017.00002		iCell	1						iCell Maintenance Medium (CDI)	iCell Maintenance Medium (CDI)											Gelatin											Collagen	CM + EC + SC	hMSC	hiPSC-EC	65, 32, 3	DMEM, horse serum, newborn calf serum			Yes	SEM, TEM									Dye													PCR	isoproterenol, clenbuterol, diltiazem	
	Valls-Margarit, M. et al. Engineered Macroscale Cardiac Constructs Elicit Human Myocardial Tissue-like Functionality. Stem Cell Reports 13, 207–220 (2019).	2019.0	 Engineered Macroscale Cardiac Constructs Elicit Human Myocardial Tissue-like Functionality	 Stem Cell Reports 13, 207–220 (2019)	https://doi.org/10.1016/j.stemcr.2019.05.024		ESi044-A	1	Male	Caucasian	Matrigel	mTeSR-1	100	iCell Maintenance Medium (CDI)	B27, L-glutamine, β-mercaptoethanol, NEAAs	CHIR99021	0-1	IWP4	3-5	7			Flow cytometry for cTnI	72					Yes		Yes	Yes					Collagen + elastin 	CM + SC	hFF		90, 0, 10	RPMI-1640, B27	5.0	78.5	Yes	TEM					Motion tracking analysis										MCR				2.5			PCR	isoproterenol, carbachol, sotalol	
	van Meer, B. J. et al. Simultaneous measurement of excitation-contraction coupling parameters identifies mechanisms underlying contractile responses of hiPSC-derived cardiomyocytes. Nat Commun 10, (2019).	2019.0	 Simultaneous measurement of excitation-contraction coupling parameters identifies mechanisms underlying contractile responses of hiPSC-derived cardiomyocytes	 Nat Commun 10, (2019)	https://doi.org/10.1038/s41467-019-12354-8		Pluricyte	1						iCell Maintenance Medium (CDI)												Matrigel										ECM-coated plastic/glass																			Dye						MEA; Optical mapping								epinephrine, pimobendan, forskolin, acetylsalicylic acid, levosimendan, atenolol, verapamil, captopril, doxorubicin, omecamtiv mecarbil, sunitinib, ouabain	
	Vannozzi, L. et al. Self-Folded Hydrogel Tubes for Implantable Muscular Tissue Scaffolds. Macromol Biosci 18, (2018).	2018.0	 Self-Folded Hydrogel Tubes for Implantable Muscular Tissue Scaffolds	 Macromol Biosci 18, (2018)	https://doi.org/10.1002/mabi.201700377		Cor.4U	1						iCell Maintenance Medium (CDI)																		Yes		Yes			PEG								Yes						Motion tracking analysis																			
	Wang, C. et al. Maladaptive Contractility of 3D Human Cardiac Microtissues to Mechanical Nonuniformity. Adv Healthc Mater 9, (2020).	2020.0	 Maladaptive Contractility of 3D Human Cardiac Microtissues to Mechanical Nonuniformity	 Adv Healthc Mater 9, (2020)	https://doi.org/10.1002/adhm.201901373		WTC11	1	Male 	Asian	Matrigel	E8		iCell Maintenance Medium (CDI)	B27	CHIR99021	0-1	IWP2	3-5	7, not 20-24	No glucose with lactate	20-24				Matrigel							Yes				3D filamentous matrices composed of three layers of micronscale parallel fibers	CM			100, 0, 0	RPMI-1640, B27	3.0	0.039	Yes						Motion tracking analysis	0.000175		38																
	Wang, J. et al. Graphene Sheet-Induced Global Maturation of Cardiomyocytes Derived from Human Induced Pluripotent Stem Cells. ACS Appl Mater Interfaces 9, 25929–25940 (2017).	2017.0	 Graphene Sheet-Induced Global Maturation of Cardiomyocytes Derived from Human Induced Pluripotent Stem Cells	 ACS Appl Mater Interfaces 9, 25929–25940 (2017)	https://doi.org/10.1021/acsami.7b08777		KB3, NC5	2	NaN, NaN	NaN, NaN	Matrigel	mTeSR-1	87.5	iCell Maintenance Medium (CDI)	B27	CHIR99021	0-1	IWR1	3-4										Conductive material							ECM-coated plastic/glass									Yes	SEM, TEM		1.8							Dye	1.69				5.6	Patch clamp	5.0	75	-42.0				RNA-seq, PCR		
	Wang, Q. et al. Functional engineered human cardiac patches prepared from nature’s platform improve heart function after acute myocardial infarction. Biomaterials 105, 52–65 (2016).	2016.0	 Functional engineered human cardiac patches prepared from natureÃ‚Â’s platform improve heart function after acute myocardial infarction	 Biomaterials 105, 52–65 (2016)	https://doi.org/10.1016/j.biomaterials.2016.07.035		in-house	2			Matrigel	mTeSR-1	90	iCell Maintenance Medium (CDI)	B27	CHIR99021	0-1	IWR1	1-5	7			Flow cytometry for cTnT+	90													Decellularized tissue	CM + EC + SC	hiPSC-SC		75, 0, 25	RPMI-1640, B27			Yes	TEM															MEA							PCR	epinephrine, nifedipine, E4031, metoprolol	
	Wanjare, M. et al. Anisotropic microfibrous scaffolds enhance the organization and function of cardiomyocytes derived from induced pluripotent stem cells. Biomater Sci 5, 1567–1578 (2017).	2017.0	 Anisotropic microfibrous scaffolds enhance the organization and function of cardiomyocytes derived from induced pluripotent stem cells	 Biomater Sci 5, 1567–1578 (2017)	https://doi.org/10.1039/c7bm00323d		P356	1			Geltrex	E8		iCell Maintenance Medium (CDI)	B27	CHIR99021	0-2	IWR1	2-4	7	No glucose with lactate	9-15	IHC cTnT	80							Yes		Yes			Electrospun fibers						RPMI-1640			Yes		Yes	1.6			Motion tracking analysis			5	Dye		27.0											PCR		
	Wei, L., Li, W., Entcheva, E. & Li, Z. Microfluidics-enabled 96-well perfusion system for high-throughput tissue engineering and long-term all-optical electrophysiology. Lab Chip 20, 4031–4042 (2020).	2020.0	 Microfluidics-enabled 96-well perfusion system for high-throughput tissue engineering and long-term all-optical electrophysiology	 Lab Chip 20, 4031–4042 (2020)	https://doi.org/10.1039/d0lc00615g		iCell	1						iCell Maintenance Medium (CDI)	iCell Maintenance Medium (CDI)											Fibronectin			Optical stimulation			Flow				ECM-coated plastic/glass									Yes										Genetically encoded sensor						Optical mapping									
	Weinberger, F. et al. Cardiac repair in guinea pigs with human engineered heart tissue from induced pluripotent stem cells. Sci Trans Med 8, (2016).  	2016.0	 Cardiac repair in guinea pigs with human engineered heart tissue from induced pluripotent stem cells	 Sci Trans Med 8, (2016)	https://doi.org/10.1126/scitranslmed.aaf8781		C25	1	Female	Caucasian	Geltrex	MEF-conditioned medium	EB	RPMI-1640	B27, HEPES, 1-thioglycerol	Activin A, BMP4, bFGF	0-3	DS-I-7	4-11	7			Flow cytometry for cTnT+, Flow cytometry for a-actinin+	83						Yes	Yes						Fibrin	CM + EC		hiPSC-EC	71, 29, 0	DMEM, heat-inactivated horse serum, aprotinin, insulin	9.7	27	Yes																									
	Wendel, J. S. et al. Functional Effects of a Tissue-Engineered Cardiac Patch From Human Induced Pluripotent Stem Cell-Derived Cardiomyocytes in a Rat Infarct Model. Stem Cells Transl Med 4, 1324–1332 (2015).	2015.0	 Functional Effects of a Tissue-Engineered Cardiac Patch From Human Induced Pluripotent Stem Cell-Derived Cardiomyocytes in a Rat Infarct Model	 Stem Cells Transl Med 4, 1324–1332 (2015)	https://doi.org/10.5966/sctm.2015-0044		DF19-9-11T.H	1	Male					DMEM/F12	NEAAs, β-mercaptoethanol, FBS	CHIR99021	0-1	IWP2	3-5	8, not 19-23	No glucose with lactate	10-23	Flow cytometry for cTnT+	94		Fibronectin					Yes						Fibrin	CM + SC	hPC		86, 0, 14	DMEM/F12, FBS, aminocaproic acid	2.03	22.6	Yes						Motion tracking analysis	0.45																		
	Weng, K. C. et al. Human Induced Pluripotent Stem-Cardiac-Endothelial-Tumor-on-a-Chip to Assess Anticancer Efficacy and Cardiotoxicity. Tissue Eng Part C Methods 26, 44–55 (2020).	2020.0	 Human Induced Pluripotent Stem-Cardiac-Endothelial-Tumor-on-a-Chip to Assess Anticancer Efficacy and Cardiotoxicity	 Tissue Eng Part C Methods 26, 44–55 (2020)	https://doi.org/10.1089/ten.TEC.2019.0248		in-house	1				E8		RPMI-1640		CHIR99021	0-2	IWP2	3-5	7, not 13-21	No glucose with lactate	13-21							Yes		Yes						Fibrin	CM + EC (+ tumor)	colon adenocarcinoma (SW620)	hiPSC-EC	77, 23, 0	EGM2	130.0	2	Yes										Genetically encoded sensor		30.0			4.2									doxorubicin, oxaliplatin	
	Werley, C. A. et al. Geometry-dependent functional changes in iPSC-derived cardiomyocytes probed by functional imaging and RNA sequencing. PLoS One 12, e0172671 (2017).	2017.0	 Geometry-dependent functional changes in iPSC-derived cardiomyocytes probed by functional imaging and RNA sequencing	 PLoS One 12, e0172671 (2017)	https://doi.org/10.1371/journal.pone.0172671		iCell	1						iCell Maintenance Medium	iCell Maintenance Medium (CDI)											Fibronectin							Yes	Yes		ECM-coated plastic/glass									Yes										Genetically encoded sensor 						Genetically encoded sensor 							RNA-seq		
	Wheelwright, M. et al. Investigation of human iPSC-derived cardiac myocyte functional maturation by single cell traction force microscopy. PLoS One 13, (2018).	2018.0	 Investigation of human iPSC-derived cardiac myocyte functional maturation by single cell traction force microscopy	 PLoS One 13, (2018)	https://doi.org/10.1371/journal.pone.0194909		DF19-9-11T.H	1	Male		Matrigel	TeSR-E8	90	RPMI-1640	B27, HEPES	CHIR99021	0-1	IWP4	3-5	7					RPMI-1640, B27 with 1.8 mM Ca2+				Calcium concentration				Yes	Yes		Micropatterned PAA gel 									Yes				1200		TFM	0.00024	0.32															PCR		
	Wickramasinghe, N. M. et al. PPARdelta activation induces metabolic and contractile maturation of human pluripotent stem cell-derived cardiomyocytes. Cell Stem Cell 29, 559-576.e7 (2022).	2022.0	 PPARdelta activation induces metabolic and contractile maturation of human pluripotent stem cell-derived cardiomyocytes	 Cell Stem Cell 29, 559-576.e7 (2022)	https://doi.org/10.1016/j.stem.2022.02.011		ISMMSi005-B, WTC11	2	NaN, Male	NaN, Asian	Matrigel	E8	EBs	RPMI-1640	L-ascorbic acid, L-glutamine, 1-thioglycerol	Activin A, BMP4, bFGF	0-2	XAV939	2-4		No glucose with lactate	24-28	Flow cytometry for SIRPA		RPMI-1640, L-glutamine, thioglycerol-1, L-ascorbic acid, aprotinin, GSK0660, GW0742, Rosiglitazone, WY14643, LCFAs, palmitic acid, oleic acid, linoleic acid	Matrigel	Signal perturbation	LCFAs, T3, GW6471, GSK0660, GW9662		Yes							Fibrin	CM			100, 0, 0	RPMI-1640, L-glutamine, thioglycerol-1, L-ascorbic acid, aprotinin	6.45		Yes	TEM	Yes	1.6			Post deflection				Dye						MEA; Optical mapping	10.0				Seahorse; metabolic flux	Yes	RNA-seq, PCR		
	Williams, K. et al. A 3-D human model of complex cardiac arrhythmias. Acta Biomater 132, 149–161 (2021).	2021.0	 A 3-D human model of complex cardiac arrhythmias	 Acta Biomater 132, 149–161 (2021)	https://doi.org/10.1016/j.actbio.2021.03.004		iCell, iPSC-CM Lonza	2	NaN, NaN	NaN, NaN																				Yes	Yes						Fibrin + matrigel	CM + SC	hCF		75, 0, 25	StemPro-34 Serum Free Media, L-glutamine, L-ascorbic acid, transferrin, 1-thioglycerol	0.025	1.8	Yes						Rod deflection				Dye		45.0			18.0								RNA-seq	lidocaine, isoproterenol, flecainide, propranolol, amiodarone	ACM
	Wnorowski, A. et al. Effects of Spaceflight on Human Induced Pluripotent Stem Cell-Derived Cardiomyocyte Structure and Function. Stem Cell Reports 13, 960–969 (2019).	2019.0	 Effects of Spaceflight on Human Induced Pluripotent Stem Cell-Derived Cardiomyocyte Structure and Function	 Stem Cell Reports 13, 960–969 (2019)	https://doi.org/10.1016/j.stemcr.2019.https://doi.org/10.006	GSE137081	in-house	3			Matrigel	E8	85	RPMI-1640	B27	CHIR99021	0-2	IWR1	3-5	7	No glucose	9-12				Matrigel										ECM-coated plastic/glass						RPMI-1640, B27, GlutaMax, HEPES			Yes		Yes	1.75			Motion tracking analysis			7	Dye													RNA-seq		
	Wong, A. O. T. et al. Correlation between frataxin expression and contractility revealed by in vitro Friedreich’s ataxia cardiac tissue models engineered from human pluripotent stem cells. Stem Cell Res Ther 10, (2019).	2019.0	 Correlation between frataxin expression and contractility revealed by in vitro FriedreichÃ‚Â’s ataxia cardiac tissue models engineered from human pluripotent stem cells	 Stem Cell Res Ther 10, (2019)	https://doi.org/10.1186/s13287-019-1305-y		PB02	1			Matrigel, Geltrex	mTeSR-1, E8	EB	StemPro-34	L-ascorbic acid	Activin A, BMP4	0-3	IWR1	4-7				Flow cytometry for cTnT+	77						Yes	Yes					Microgrooves	Collagen + matrigel	CM + SC	hFF		91, 0, 9	DMEM, newborn calf serum	1.43	1.75							Post deflection	0.05									Optical mapping				2.6					Friedreich’s ataxia
	Wu, H. et al. Epigenetic Regulation of Phosphodiesterases 2A and 3A Underlies Compromised β-Adrenergic Signaling in an iPSC Model of Dilated Cardiomyopathy. Cell Stem Cell 17, 89–100 (2015).	2015.0	 Epigenetic Regulation of Phosphodiesterases 2A and 3A Underlies Compromised ?-Adrenergic Signaling in an iPSC Model of Dilated Cardiomyopathy	 Cell Stem Cell 17, 89–100 (2015)	https://doi.org/10.1016/j.stem.2015.04.020		in-house	3			Matrigel	E8		RPMI-1640	B27	CHIR99021	0-2	IWR1	3-5	7	No glucose	9-11	Flow cytometry for cTnT+	90		Matrigel										ECM-coated plastic/glass									Yes										Dye	4.5	70.0	250										RNA-seq	isoproterenol	DCM
	Wu, K. H. et al. Efficient generation of functional cardiomyocytes from human umbilical cord-derived virus-free induced pluripotent stem cells. Cell Tissue Res 374, 275–283 (2018).	2018.0	 Efficient generation of functional cardiomyocytes from human umbilical cord-derived virus-free induced pluripotent stem cells	 Cell Tissue Res 374, 275–283 (2018)	https://doi.org/10.1007/s00441-018-2875-1		in-house	1			Matrigel	mTeSR-1	100	RPMI-1640	B27	Activin A	0-1	BMP4, bFGF	1-5	5			IHC a-actinin and cTnT	80												ECM-coated plastic/glass									Yes										Dye	0.7	40.0				Patch clamp							PCR	isoproterenol, carbamylcholine	
