Reference	Year	Publication Category	hiPSC Line (Healthy Control)	Number of Healthy Control hiPSC-CM Lines	Confluency at Start of Differentiation (%)	WNT Activator	Time of Wnt Activator (Start Day - End Day)	WNT Inhibitor	Time of Wnt Inibitor (Start Day - End Day)	Day Insulin is Added (Until End Unless Noted)	Purification Protocol	Time of hiPSC-CM Purification (Start Day - End Day)	Method to Assess Differentiation Purity	Differentiation Purity (%)	Maturation Technique: Metabolic?	Metabolic components	Maturation Technique: Electrical Stimulation?	Maturation Technique: Passive Tension?	Maturation Technique: Other Cell Types?	Maturation Technique: Mechanical Stimulation?	Maturation Technique: Cell Alignment?	Maturation Technique: Elastomeric Surface?	Maturation Technique: Cell Derived ECM?	2D: Surface	3D: Platform Type	3D: Cell Types	3D: Type of Stromal Cell	3D: Types of Endothelial Cell 	3D: Cell Composition (CM-EC-SC)	3D: Estimated Tissue Cell Density (10^6 cells/mL)	3D:Estimated Tissue size (mm2)	Immunofluorescent Imaging?	SEM or TEM	Sarcomere/Cellular Alignment Analysis?	Sarcomere Length (um)	Cell Area (um2)	T-tubules Present?	Contractile Analyses Method	Force (mN)	Stress (mN/mm2)	Upstroke Velocity (um/s)	Calcium Handling Analyses Method	Amplitude (F/F0)	Beat Rate (BPM)	Time to Peak (ms)	Time to Relaxation (ms)	Conduction Velocity (cm/s)	Electrical Physiology Analyses Method	AP Conduction Velocity (cm/s)	AP Amplitude (mV)	Resting Membrane Potential (mV)	Max Capture Rate (Hz)	Metabolic Analyses Method	Gene Analyses Method	Pharmacological Interventions
"Marchiano, S. et al. SARS-CoV-2 Infects Human Pluripotent Stem Cell-Derived Cardiomyocytes, Impairing Electrical and Mechanical Function. Stem Cell Reports 16, 478–492 (2021)."	2021	Top 100	WTC11	1		CHIR99021	0-1	Wnt-C59	44961	6			Flow cytometry for cTnT+	83				Yes	Yes					ECM-coated plastic/glass	Fibrin	CM + SC	SC		"91, 0, 9"	5	8.6	Yes	TEM					Post deflection	0.04															RNA-seq	
"Marsano, A. et al. Beating heart on a chip: A novel microfluidic platform to generate functional 3D cardiac microtissues. Lab Chip 16, 599–610 (2016)."	2016	Top 100	iCell	1																Yes					Fibrin	CM			"100, 0, 0"	100	0.3	Yes	"SEM, TEM"					Motion tracking analysis			10							MCR				1.5		PCR	isoproterenol
"Martella, D. et al. Liquid Crystalline Networks toward Regenerative Medicine and Tissue Repair. Small 13, (2017)."	2017	Top 100	ax2505	1													Conductive material				Yes			Nanotopography										Yes		7000												Patch clamp		120	-80				
"Martewicz, S. et al. Live Cell Imaging in Microfluidic Device Proves Resistance to Oxygen/Glucose Deprivation in Human Induced Pluripotent Stem Cell-Derived Cardiomyocytes. Anal Chem 90, 5687–5695 (2018)."	2018	Randomized	ADHF	1	90	CHIR99021	0-2	IWP4	44625	7														ECM-coated plastic/glass								Yes																							
"Martewicz, S. et al. Transcriptomic Characterization of a Human In Vitro Model of Arrhythmogenic Cardiomyopathy Under Topological and Mechanical Stimuli. Ann Biomed Eng 47, 852–865 (2019)."	2019	Randomized	in-house	1		CHIR99021	0-1	IWP4	44625									Yes		Yes	Yes			ECM-coated plastic/glass								Yes						Stretching device																RNA-seq	
"Mastikhina, O. et al. Human cardiac fibrosis-on-a-chip model recapitulates disease hallmarks and can serve as a platform for drug testing. Biomaterials 233, (2020)."	2020	Top 100	"iCellA, iCellB"	2														Yes	Yes						Fibrin + matrigel	CM + SC	hCF		"75, 0, 25"	35	1.25	Yes						Post deflection		3.7														RNA-seq	"carvedilol, losartan, pirfenidone"
"Masumoto, H. et al. The myocardial regenerative potential of three-dimensional engineered cardiac tissues composed of multiple human iPS cell-derived cardiovascular cell lineages. Sci Rep 6, (2016)."	2016	Top 100	201B6	1		"Activin A, BMP4, bFGF, Wnt3a"	0-5	Dkk1	45053	5			Flow cytometry for cTnT+	62				Yes	Yes						Collagen + matrigel	CM + EC + SC	hiPSC-MC	hiPSC-EC	"62, 19, 2"	15	100	Yes	TEM					Force transducer		1.5								MCR				4.5		RNA-seq	
"Mathur, A. et al. Human iPSC-based cardiac microphysiological system for drug screening applications. Sci Rep 5, (2015)."	2015	Top 100	WTC11	1	85	CHIR99021	0-1	IWP4	44597	7			Flow cytometry for cTnT+	90						Flow					"Scaffold free, microfluidic device"	CM			"100, 0, 0"	5	0.1	Yes						Motion tracking analysis			8	Genetically encoded sensor						MEA							"isoproterenol, verapamil, metoprolol, E4031"
"Matsuura, K. et al. Induced pluripotent stem cell elimination in a cell sheet by methionine-free and 42°C condition for tumor prevention. Tissue Eng Part C Methods 24, 605–615 (2018)."	2018	Randomized	201B7	1	EB	"Activin A, BMP4, bFGF"	0-4	IWR1	44657		Cell sorting													ECM-coated plastic/glass								Yes																							
"Mattapally, S. et al. Spheroids of cardiomyocytes derived from human-induced pluripotent stem cells improve recovery from myocardial injury in mice. Am J Physiol Heart Circ Physiol 315, H327–H339 (2018)."	2018	Randomized	GRiPS	1		CHIR99021	0-1	IWR1	44625	5	No glucose with lactate	45214	"IHC: cTnT, Cx43, MLC2v, MLC2A"											ECM-coated plastic/glass	Fibrin	CM			"100, 0, 0"	9	0.5	Yes										Dye					9.4								
"McMinn, P., Guckenberger, D. J. & Beebe, D. J. Induced Pluripotent Stem Cells on a Chip: A Self-Contained, Accessible, Pipette-less iPSC Culturing and Differentiation Kit. SLAS Technol 26, 80–91 (2021)."	2021	Randomized	IMR-90	1		CHIR99021	0-1	IWP4	44596	4														ECM-coated plastic/glass								Yes																						PCR	
"Melby, J. A. et al. Functionally Integrated Top-Down Proteomics for Standardized Assessment of Human Induced Pluripotent Stem Cell-Derived Engineered Cardiac Tissues. J Proteome Res 20, 1424–1433 (2021)."	2021	Selected	DF19-9-11T.H	1	100	CHIR99021	0-1	IWP4	44625	"7, not 17-24"	No glucose with lactate	17-24	Visual inspection	95				Yes	Yes						Fibrin	CM + SC	hiPSC-CF		"91, 0, 9"	11	60							Force transducer 		25														PCR	
"Michas, C. et al. Engineering a living cardiac pump on a chip using high-precision fabrication. Sci. Adv 8 (2022)."	2022	Selected	PGP1	1	90	CHIR99021	0-1	IWP4	44625	"10, not 12-16"	No glucose with lactate	45276							Yes	Flow	Yes				Fibrin + matrigel	CM + SC	hMSC		"98, 0, 2"	12	14	Yes						Motion tracking analysis																	
"Miller, J. M. et al. Heart slice culture system reliably demonstrates clinical drug-related cardiotoxicity. Toxicol Appl Pharmacol 406, (2020)."	2020	Randomized	iCell	1																				ECM-coated plastic/glass																															"aspirin, doxorubicin, sunitinib, erlotinib"
"Minor, A. J. & Coulombe, K. L. K. Stimulating Calcium Handling in hiPSC-Derived Engineered Cardiac Tissues Enhances Force Production. Stem Cells Transl Med 11, 97–106 (2022)."	2022	Selected	WTC11	1		CHIR99021	0-1	IWP2	44625	"10, not 14-21"	No glucose with lactate	14-21	Flow cytometry for cTnT+	61			Yes	Yes							Collagen	CM			"100, 0, 0"	16	60	Yes						Force transducer		0.25	0.14 mN/s													PCR	
"Miwa, T., Idiris, A. & Kumagai, H. A novel cardiac differentiation method of a large number and uniformly-sized spheroids using microfabricated culture vessels. Regen Ther 15, 18–26 (2020)."	2020	Selected	"201B7, 253G1"	2	EB	"Activin A, BMP4, bFGF"	0-4	IWP4	44657				Flow cytometry for cTnT+	95											Scaffold free	CM			"100, 0, 0"		0.015	Yes																						PCR	
"Moon, I., Ahmadzadeh, E., Jaferzadeh, K. & Kim, N. Automated quantification study of human cardiomyocyte synchronization using holographic imaging. Biomed Opt Express 10, 610 (2019)."	2019	Randomized	iCell	1																				ECM-coated plastic/glass														Motion tracking analysis																	
"Murphy, J. F. et al. Adult human cardiac stem cell supplementation effectively increases contractile function and maturation in human engineered cardiac tissues. Stem Cell Res Ther 10, (2019)."	2019	Randomized	SKiPS-31.3	1		CHIR99021	0-1	IWR1	44624									Yes	Yes						Collagen + matrigel	CM + cardiac stem cells (CSCs)			"90, 0, 10"		6	Yes						Post deflection	0.012															Nanostring	
"Nakane, T. et al. Impact of Cell Composition and Geometry on Human Induced Pluripotent Stem Cells-Derived Engineered Cardiac Tissue. Sci Rep 7, (2017)."	2017	Top 100	201B6	1		"Activin A, BMP4, bFGF, Wnt3a"	0-5			5			Flow cytometry for VCAM1+					Yes	Yes		Yes				Collagen + matrigel	CM + EC + SC	hiPSC-MC	hiPSC-EC	"45, 18, 15"	15	150	Yes		Yes				Force transducer		0.55								MCR				6.9		PCR	
"Navaratnarajah, C. K. et al. Highly Efficient SARS-CoV-2 Infection of Human Cardiomyocytes: Spike Protein-Mediated Cell Fusion and Its Inhibition. J Virol 95, (2021)."	2021	Randomized	in-house	1	EB	CHIR99021		IWP4																ECM-coated plastic/glass								Yes	"SEM, TEM"																					RNA-seq	
"Ng, R. et al. Contractile work directly modulates mitochondrial protein levels in human engineered heart tissues. Am J Physiol Heart Circ Physiol 318, 1516–1524 (2020)."	2020	Randomized	PGP1	1	100	CHIR99021	0-1	IWP	44625	9							Yes	Yes	Yes	Yes			Yes		Decellularized tissue	CM + SC	hCF		"91, 0, 9"	10	9.6							Force transducer	0.64			Dye	0.2		230										blebbistatin
"Noor, N. et al. 3D Printing of Personalized Thick and Perfusable Cardiac Patches and Hearts. Advanced Science 6, (2019)."	2019	Top 100	in-house	1	100	CHIR99021	0-2	IWP2	44657	8									Yes				Yes		Decellularized tissue	CM + EC + SC	hiPSC-CF	hiPSC-EC	"85, 12.5, 2.5"	118		Yes	SEM									Dye													
"Oleaga, C. et al. Investigation of the effect of hepatic metabolism on off-target cardiotoxicity in a multi-organ human-on-a-chip system. Biomaterials 182, 176–190 (2018)."	2018	Top 100	iCell	1																Flow				MEA														Post deflection						96					15						"cyclophosphamide, acrolein, terfenadine, fexofenadine"
"Oleaga, C. et al. Multi-Organ toxicity demonstration in a functional human in vitro system composed of four organs. Sci Rep 6, (2016)."	2016	Top 100	iCell	1															Yes	Flow				ECM-coated plastic/glass								Yes						Post deflection																	"doxorubicin, atorvastatin, valproic acid, acetaminophen, n-acetyl-m-aminophenol"
"Ong, C. S. et al. Biomaterial-Free Three-Dimensional Bioprinting of Cardiac Tissue using Human Induced Pluripotent Stem Cell Derived Cardiomyocytes. Sci Rep 7, (2017)."	2017	Top 100	in-house	1		CHIR99021	0-1	IWR1	44990	Not clear			Flow cytometry for VCAM1+	93					Yes		Yes				Scaffold free	CM + EC + SC	hCF	HUVEC	"70, 15, 15"	0.165	0.25	Yes						Motion tracking analysis										Optical mapping	4						
"Ozcebe, S. G., Bahcecioglu, G., Yue, X. S. & Zorlutuna, P. Effect of cellular and ECM aging on human iPSC-derived cardiomyocyte performance, maturity and senescence. Biomaterials 268, (2021)."	2021	Randomized	HVRDi007-A	1	90	CHIR99021	0-2	IWP4	44657	9													Yes	ECM-coated plastic/glass								Yes						Motion tracking analysis			45	Dye		24	500										isoproterenol
"Park, J. et al. Modular design of a tissue engineered pulsatile conduit using human induced pluripotent stem cell-derived cardiomyocytes. Acta Biomater 102, 220–230 (2020)."	2020	Randomized	Y6	1	90	CHIR99021	0-1	IWP4	44625	11	No glucose with lactate	44909						Yes	Yes						"Collagen, PGA mesh, decellularized porcine ECM"	CM + SC	hCF		"70, 0, 30"	30.45	25	Yes						Force transducer	1.1	3.2															
"Park, S. J. et al. Insights into the Pathogenesis of Catecholaminergic Polymorphic Ventricular Tachycardia from Engineered Human Heart Tissue. Circulation 140, 390–404 (2019)."	2019	Top 100	"in-house, Cor.4U"	2		CHIR99021	0-1	IWR1	44625		No glucose with lactate	15-18	Flow cytometry for cTnT+	92			Optical stimulation					Yes		Hydrogel		CM			"100, 0, 0"		2	Yes						Motion tracking analysis		5		Dye													isoproterenol
"Parveen, S., Singh, S. P., Panicker, M. M. & Gupta, P. K. Amniotic membrane as novel scaffold for human iPSC-derived cardiomyogenesis. In Vitro Cell Dev Biol Anim 55, 272–284 (2019)."	2019	Randomized	in-house	1	EB	"Activin A, BMP4, bFGF"	0-4	"BMP4, Activin A, bFGF, VEGF"	44659														Yes	Decellularized ECM								Yes										Dye												PCR	
"Pasqualini, F. S., Sheehy, S. P., Agarwal, A., Aratyn-Schaus, Y. & Parker, K. K. Structural phenotyping of stem cell-derived cardiomyocytes. Stem Cell Reports 4, 340–347 (2015)."	2015	Top 100	iCell	1																		Yes		"Micropatterned PDMS, Micropatterned PAA"								Yes																							
"Pioner, J. M. et al. Isolation and mechanical measurements of myofibrils from human induced pluripotent stem cell-derived cardiomyocytes. Stem Cell Reports 6, 885–896 (2016)."	2016	Top 100	in-house (2)	2		"CHIR99021, Activin A"	0-3	XAV939	3-x	7			Flow cytometry for cTnT+	60							Yes			Micropatterned plastic/glass								Yes	TEM		1.8	7696	Yes																	PCR	
"Pioner, J. M. et al. Optical investigation of action potential and calcium handling maturation of hiPSC-cardiomyocytes on biomimetic substrates. Int J Mol Sci 20, (2019)."	2019	Selected	UC3-4 A1	1	70		0-2		44961	12											Yes	Yes		Micropatterned plastic/glass																		Dye		33	190			Patch clamp; optical mapping		100	-75				"isoproterenol, forskolin"
"Pires, R. H., Shree, N., Manu, E., Guzniczak, E. & Otto, O. Cardiomyocyte mechanodynamics under conditions of actin remodelling. Philosophical Transactions of the Royal Society B: Biological Sciences 374, (2019)."	2019	Randomized	iCell	1																				ECM-coated plastic/glass																															
"Pointon, A. et al. High-throughput imaging of cardiac microtissues for the assessment of cardiac contraction during drug discovery. Toxicological Sciences 155, 444–457 (2017)."	2017	Randomized	iCell	1																					Scaffold free	CM + EC + SC	hCF	CMVEC	"67, 16.5, 16.5"	0.0125	0.03	Yes						Motion tracking analysis																PCR	"amitriptyline, amoxicillin, acetylsalicylic acid, atenolol, AZ1-9, bepridil, captopril, chloroquine, cibenzoline, cimetidine, digoxin, diltiazem, disopyramide, dobutamine, doxorubicin, enalapril, epinephrine, flecainide, furosemide, haloperidol, isoproterenol, lapatinib, levosimendan, lisinopril, milrinone, nifedipine, paracetamol, pravastatin, quinidine, ramipril, sunitinib, tolbutamide, verapamil"
"Polonchuk, L. et al. Cardiac spheroids as promising in vitro models to study the human heart microenvironment. Sci Rep 7, (2017)."	2017	Selected	Cor.4U	1															Yes						Scaffold free	CM + EC + SC	hiPSC-CF	HCAEC	"50, 25, 25"	0.15	0.35	Yes	TEM																						"doxorubicin, L-NIO"
"Portillo-Esquivel, L. E., Nanduri, V., Zhang, F., Liang, W. & Zhang, B. z-Wire: A Microscaffold That Supports Guided Tissue Assembly and Intramyocardium Delivery for Cardiac Repair. Adv Healthc Mater 9, (2020)."	2020	Selected	iCell	1														Yes	Yes		Yes: Magnetic guided anisotropy				Z-wires with Iron(III) oxide nanoparticles (magnetic)	CM + SC	hiPSC-CF		"50, 0, 50"	40	0.75	Yes		Yes				Motion tracking analysis			time to peak=0.16s														"bepridil, cisapride, carbenoxolone"
"Prajapati, C., Pölönen, R. P. & Aalto-Setälä, K. Simultaneous recordings of action potentials and calcium transients from human induced pluripotent stem cell derived cardiomyocytes. Biol Open 7, (2018)."	2018	Selected	"UTA.04602.WT, UTA.04511.WT"	2	EB								IHC for cTnT and RyR2											ECM-coated plastic/glass								Yes										Dye				790		Patch clamp							"E-4031, nimodipine, chromanol 293B"
"Pretorius, D. et al. Layer-By-Layer Fabrication of Large and Thick Human Cardiac Muscle Patch Constructs With Superior Electrophysiological Properties. Front Cell Dev Biol 9, (2021)."	2021	Randomized	Not listed	Not listed		"Yes, Not listed"					No glucose with lactate	45184	Flow cytometry for cTnT+	98					Yes						Fibrin + matrigel	CM + EC + SC	hiPSC-CF	hiPSC-EC	"57, 29, 14"	10	200	Yes						Motion tracking analysis										Optical mapping	30					PCR	
"Pretorius, D., Kahn-Krell, A. M., LaBarge, W. C., Lou, X. & Zhang, J. Engineering of thick human functional myocardium via static stretching and electrical stimulation. iScience 25, (2022)."	2022	Randomized	"hiPSC5, lzhiPSC5"	3	90	CHIR99021	0-1	IWR1	44625	7	No glucose with lactate	44819	Flow cytometry for cTnT+	96			Yes	Yes							Fibrin	CM			"100, 0, 0"	10	107	Yes	TEM		1.8																			PCR	
"Pushp, P. et al. Functional comparison of beating cardiomyocytes differentiated from umbilical cord-derived mesenchymal/stromal stem cells and human foreskin-derived induced pluripotent stem cells. J Biomed Mater Res A 108, 496–514 (2020)."	2020	Randomized	DF6-9-9T.B	1	85	CHIR99021	0-1	IWP2	44597	7			Flow cytometry for cTnT+	33							Yes			Electrospun fibers								Yes																						PCR	
"Qian, F. et al. Simultaneous electrical recording of cardiac electrophysiology and contraction on chip. Lab Chip 17, 1732–1739 (2017)."	2017	Top 100	iCell	1													Yes							ECM-coated plastic/glass																															norepinephrine
"Qu, Y. et al. Inotropic assessment in engineered 3D cardiac tissues using human induced pluripotent stem cell-derived cardiomyocytes in the BiowireTM II platform. J Pharmacol Toxicol Methods 105, (2020)."	2020	Selected	iCell	1													Yes	Yes	Yes						Collagen + fibrin + matrigel	CM + SC	hCF		"91, 0, 9"	50	1							Post deflection										Optical mapping							"isoproterenol, dobutamine, milrpinone, pimobendan, levosimendan, omecamtiv mecarbil, AMG1, AMG2, pyrethrin-apelin-13"
"Quach, B., Krogh-Madsen, T., Entcheva, E. & Christini, D. J. Light-Activated Dynamic Clamp Using iPSC-Derived Cardiomyocytes. Biophys J 115, 2206–2217 (2018)."	2018	Randomized	Cor.4U	1													Optical sitmulation							ECM-coated plastic/glass																								Patch clamp		110	-78				E4031
"Querdel, E. et al. Human Engineered Heart Tissue Patches Remuscularize the Injured Heart in a Dose-Dependent Manner. Circulation 143, 1991–2006 (2021)."	2021	Selected	"UKEi1-A, TC-1133, C25"	3	EB	"Activin A, BMP4, bFGF"	0-3	DS-I-7	44995	45087			Flow cytometry for cTnT+	83				Yes			Yes				Fibrin	CM			"100, 0, 0"	10	3500	Yes		Yes				Post deflection	4.6									MEA	41	110	-82				isoproterenol
"Rajamohan, D. et al. Automated electrophysiological and pharmacological evaluation of human pluripotent stem cell-derived cardiomyocytes. Stem Cells Dev 25, 439–452 (2016)."	2016	Selected	"FIB-hiPSC, BT1-hiPSC"	2		"Activin A, BMP4"	0-2	KY02111	44596	4			Flow cytometry for cTnT+	91										ECM-coated plastic/glass								Yes																Patch clamp		105	-39				"tetrodotoxin, nifedipine, E4031"
"Raval, K. K. et al. Pompe disease results in a Golgi-based glycosylation deficit in human induced pluripotent stem cell-derived cardiomyocytes. Journal of Biological Chemistry 290, 3121–3136 (2015)."	2015	Top 100	"GM20089, GM20123, GM04912"	3		CHIR99021	0-1	IWP2	44625	7			Flow cytometry for cTnT+	80			Yes								Fibrin	CM			"100, 0, 0"	6	141	Yes	TEM					Force transducer 	1.2																
"Rehnelt, S. et al. Frequency-dependent multi-well cardiotoxicity screening enabled by optogenetic stimulation. Int J Mol Sci 18, (2017)."	2017	Randomized	Cor.4U	1													Optical stimulation							ECM-coated plastic/glass								Yes																							"lidocaine, nifedipine, E4031"
"Richards, D. J. et al. Human cardiac organoids for the modelling of myocardial infarction and drug cardiotoxicity. Nat Biomed Eng 4, 446–462 (2020)."	2020	Selected	iCell	2	EB																				Scaffold free	CM + EC + SC	"hCF, hADSC"	HUVEC	"50, 14, 36"	2	0.07	Yes						Motion tracking analysis				Dye	0.3	42									Seahorse	RNA-seq	norepinephrine
"Richards, D. J. et al. Inspiration from heart development: Biomimetic development of functional human cardiac organoids. Biomaterials 142, 112–123 (2017)."	2017	Selected	iCell	1																					Scaffold free	CM + EC + SC	hCF	HUVEC	"50, 10, 40"	2	0.13	Yes	"SEM, TEM"					Motion tracking analysis				Dye			170	480 (50%)								PCR	"verapamil, ryanodine, E4031, isoproterenol"
"Richards, D. J. et al. Nanowires and electrical stimulation synergistically improve functions of hiPSC cardiac spheroids. Nano Lett 16, 4670–4678 (2016)."	2016	Top 100	iCell	1													Yes								Scaffold free							Yes	TEM																						
"Rogers, A. J., Fast, V. G. & Sethu, P. Biomimetic Cardiac Tissue Model Enables the Adaption of Human Induced Pluripotent Stem Cell Cardiomyocytes to Physiological Hemodynamic Loads. Anal Chem 88, 9862–9868 (2016)."	2016	Selected	iCell	1																Flow		Yes		Micropatterned PDMS								Yes																Optical mapping	2.5						
"Ronaldson-Bouchard, K. et al. A multi-organ chip with matured tissue niches linked by vascular flow. Nat Biomed Eng 6, 351–371 (2022)."	2022	Selected	WTC11	1	100	"Activin A, BMP4"	0-1	VEGF	44564	3			Flow cytometry for cTnT+	85			Yes	Yes	Yes						Fibrin	CM + SC	hDF		"75, 0, 25"	10	7	Yes						Motion tracking analysis		2.1												5.6		RNA-seq	"doxorubicin, doxorubicinol"
"Ronaldson-Bouchard, K. et al. Advanced maturation of human cardiac tissue grown from pluripotent stem cells. Nature 556, 239–243 (2018)."	2018	Top 100	"BS2, C2A, IMR-90, WTC11"	4	100	"Activin A, BMP4"	0-3			3			Flow cytometry for cTnT+	85			Yes	Yes	Yes						Fibrin	CM + SC	hDF		"75, 0, 25"	10	6	Yes	TEM		2.2	1500	Yes	Post deflection	0.8	3.8		Dye				250	25	Patch clamp		115	-70		Seahorse	PCR	"isoproterenol, nifedipine, verapamil, thapsigargin"
"Roshanbinfar, K. et al. Carbon nanotube doped pericardial matrix derived electroconductive biohybrid hydrogel for cardiac tissue engineering. Biomater Sci 7, 3906–3917 (2019)."	2019	Randomized	F1	1	90	CHIR99021	0-2	IWR1	44625	7							Conductive material						Yes	"Decellularized ECM, Electrically conductive hydrogel"		CM			"100, 0, 0"	40		Yes		Yes	1.7			Motion tracking analysis			15.25	Dye	0.8		315	145									"isoproterenol, epinephrine, nifedipine, verapamil"
"Ruan, J. L. et al. Mechanical Stress Conditioning and Electrical Stimulation Promote Contractility and Force Maturation of Induced Pluripotent Stem Cell-Derived Human Cardiac Tissue. Circulation 134, 1557–1567 (2016)."	2015	Top 100	"IBJ, IMR-90"	2	80	"Activin A, BMP4, CHIR99021, bFGF"	0-2	"XAV939, IWP2"	44595				Flow cytometry for cTnT+	63				Yes	Yes	Yes					Collagen + Geltrex	CM + EC + SC	hiPSC-SMC	hiPSC-EC	"58, 9, 15"	20	60	Yes						Force transducer 		1			0.037	60	127									PCR	
"Rupert, C. E., Irofuala, C. & Coulombe, K. L. K. Practical adoption of state-of-the-art hiPSC-cardiomyocyte differentiation techniques. PLoS One 15, (2020)."	2020	Selected	"Gibco episomal, NCRM-5, WTC11"	3		CHIR99021	0-1	IWP2	44625	"9, not 13-17"	No glucose with lactate	13-17	Flow cytometry for cTnT+	82				Yes	Yes						Collagen	CM + SC	hCF		"95, 0, 5"	1								Force transducer		0.18													Seahorse		
"Rupert, C. E., Kim, T. Y., Choi, B. R. & Coulombe, K. L. K. Human Cardiac Fibroblast Number and Activation State Modulate Electromechanical Function of hiPSC-Cardiomyocytes in Engineered Myocardium. Stem Cells Int 2020, (2020)."	2020	Selected	Gibco episomal	1	70	CHIR99021	Not listed	IWP2	Not listed	7			Flow cytometry for cTnT+	52				Yes	Yes						Collagen	CM + SC	hCF		"95, 0, 5"	16	10	Yes						Force transducer		0.15		Dye						Optical mapping				2.9		PCR	
"Saleem, U. et al. Blinded, Multicenter Evaluation of Drug-induced Changes in Contractility Using Human-induced Pluripotent Stem Cell-derived Cardiomyocytes. Toxicological Sciences 176, 103–123 (2020)."	2020	Selected	"in-house, iCell2, Pluricyte"	3		"Activin A, BMP4, bFGF"	0-3	DS-I-7	44995	6								Yes							Fibrin + matrigel	CM			"100, 0, 0"	10	10							Post deflection				Dye						Optical mapping							"epinephrine, forskolin, levosimendan, pimobendan, dobutamine, milrinone, omecamtiv mecarbil, terbutaline, verapamil, doxorubicin, sunitinib, citalopram, itraconazole, sorafenib, ivabradine, flecainide, phentolamine, zimelidine, atenolol, acetylsalicylic acid, captopril, glibenclamide, enalaprilat, clonidine, paracetamol, tolbutamide, pravastatin, sildenafil"
"Saleem, U. et al. Force and Calcium Transients Analysis in Human Engineered Heart Tissues Reveals Positive Force-Frequency Relation at Physiological Frequency. Stem Cell Reports 14, 312–324 (2020)."	2020	Selected	in-house	1	EB	"Activin A, BMP4, bFGF"	0-3	DS-I-7	44630	"7, not 10-13"	1-Thioglycerol	44847	Flow cytometry for cTnT+					Yes							Fibrin	CM			"100, 0, 0"	10	16	Yes						Post deflection	0.25			Genetically encoded sensor		83	190										"isoproterenol, nifedipine, Bay K-8644, digoxin, EMD-57033, omecamtiv mecarbil"
"Saludas, L. et al. Long-term engraftment of human cardiomyocytes combined with biodegradable microparticles induces heart repair. Journal of Pharmacology and Experimental Therapeutics 370, 761–771 (2019)."	2019	Randomized	Gibco episomal	1	85	CHIR99021	0-1	WntC-59	44625	7	No glucose with lactate	44816	Flow cytometry for cTnT+	90								Biodegradable and biomimetic microparticles		ECM-coated microparticles								Yes																						PCR	
"Sapp, V. et al. Genome-wide CRISPR/Cas9 screening in human iPS derived cardiomyocytes uncovers novel mediators of doxorubicin cardiotoxicity. Sci Rep 11, (2021)."	2021	Randomized	IPSL1	1		CHIR99021	0-1	Wnt-C59	44625	0	No glucose with lactate	15-25	Flow cytometry for cTnT+											ECM-coated plastic/glass																														"RNA-seq, PCR"	doxorubicin
"Saraf, A. et al. Functional and molecular effects of TNF-? on human iPSC-derived cardiomyocytes. Stem Cell Res 52, (2021)."	2021	Selected	"SCVI-273, IMR-90"	2	85	CHIR99021	0-2	IWR1	44596	5			IHC for a-actinin	85										ECM-coated plastic/glass								Yes						Motion tracking analysis				Dye												RNA-seq	
"Sasaki, D. et al. Contractile force measurement of human induced pluripotent stem cell-derived cardiac cell sheet-tissue. PLoS One 13, (2018)."	2018	Top 100	201B7	1	EB	"Activin A, BMP4, bFGF"	0-4	IWR1	44657				Flow cytometry for cTnT+	95											Fibrin	CM			"100, 0, 0"		144	Yes						Force transducer	0.85	3.3															adrenaline
"Schaefer, J. A., Guzman, P. A., Riemenschneider, S. B., Kamp, T. J. & Tranquillo, R. T. A cardiac patch from aligned microvessel and cardiomyocyte patches. J Tissue Eng Regen Med 12, 546–556 (2018)."	2018	Randomized	DF19-9-11T.H	1		CHIR99021	0-1	IWP2	44990	7			Flow cytometry for cTnT+	85					Yes		Yes				Fibrin	CM + EC + SC	hPC	BOEC	"65, 29, 6"		5							Force transducer	1																
"Schulz, A. et al. Tyramine-conjugated alginate hydrogels as a platform for bioactive scaffolds. J Biomed Mater Res A 107, 114–121 (2019)."	2019	Randomized	Cor.4U	1																	Yes	Yes		ECM-coated plastic/glass														Motion tracking analysis																	
"Schulze, M. L. et al. Dissecting hiPSC-CM pacemaker function in a cardiac organoid model. Biomaterials 206, 133–145 (2019)."	2019	Selected	in-house	1	EB	"Activin A, BMP4, bFGF"	0-3	DS-I-7	44630	"7, not 10-13"	1-Thioglycerol	44847	Flow cytometry for cTnT+	86											Scaffold free	CM			"100, 0, 0"		0.37	Yes										Dye						Patch clamp		90	-62			PCR	Ivabradine
"Shadrin, I. Y. et al. Cardiopatch platform enables maturation and scale-up of human pluripotent stem cell-derived engineered heart tissues. Nat Commun 8, (2017)."	2017	Top 100	"ATCC, BJ1"	2		CHIR99021	0-1	IWP4	44625	"7, not 10-12"	No glucose with lactate	44846	Flow cytometry for cTnT+	86				Yes		Yes					Fibrin + matrigel	CM			"100, 0, 0"	17.2	49-1681	Yes	TEM				Yes	Force transducer	20	22.4								Optical mapping	28					PCR	
"Shanmughapriya, S. et al. FOXD1-dependent MICU1 expression regulates mitochondrial activity and cell differentiation. Nat Commun 9, (2018)."	2018	Randomized	"iPS-GM942-SeV3, iPS-GM942-SeV5"	2									Flow cytometry for cTnT+											ECM-coated plastic/glass																													Seahorse		
