Reference	Year	Publication Category	hiPSC Line (Healthy Control)	Number of Healthy Control hiPSC-CM Lines	Confluency at Start of Differentiation (%)	WNT Activator	Time of Wnt Activator (Start Day - End Day)	WNT Inhibitor	Time of Wnt Inibitor (Start Day - End Day)	Day Insulin is Added (Until End Unless Noted)	Purification Protocol	Time of hiPSC-CM Purification (Start Day - End Day)	Method to Assess Differentiation Purity	Differentiation Purity (%)	Maturation Technique: Metabolic?	Metabolic components	Maturation Technique: Electrical Stimulation?	Maturation Technique: Passive Tension?	Maturation Technique: Other Cell Types?	Maturation Technique: Mechanical Stimulation?	Maturation Technique: Cell Alignment?	Maturation Technique: Elastomeric Surface?	Maturation Technique: Cell Derived ECM?	2D: Surface	3D: Platform Type	3D: Cell Types
Strimaityte, D. et al. Contractility and Calcium Transient Maturation in the Human iPSC-Derived Cardiac Microfibers. ACS Appl Mater Interfaces 14, 35376Â35388 (2022).	2022.0	Selected	in-house WTC	1	85	CHIR99021	0-2	IWR1	3-5	7	No glucose	12-14	Flow cytometry for cTnT+	90							Yes	Yes		Micropatterned PAA		
Strober, B. J. et al. Dynamic genetic regulation of gene expression during cellular differentiation.	2019.0	Top 100	in-house	19	85	CHIR99021	0-1	Wnt-C59	3-5				Flow cytometry for cTnT+	40.4										ECM-coated plastic/glass		
Sun, S. et al. Progressive Myofibril Reorganization of Human Cardiomyocytes on a Dynamic Nanotopographic Substrate. ACS Appl Mater Interfaces 12, 21450Â21462 (2020).	2020.0	Randomized	WTC11	1	100	CHIR99021	0-2	IWP4	2-4	6, not 22-28	No glucose with lactate	22-28									Yes	Yes		Nanotopography (Shape memory polymers (SMP) Poly(tBA-co-BA) PEM coated with wrinkles)		
Sung, T. C. et al. Transient characteristics of universal cells on human-induced pluripotent stem cells and their differentiated cells derived from foetal stem cells with mixed donor sources. Cell Prolif 54, (2021).	2021.0	Randomized	454E2, in-house (3)	4	85	CHIR99021	0-2	IWR1	4-6	7														ECM-coated plastic/glass		
Takada, T. et al. Aligned human induced pluripotent stem cell-derived cardiac tissue improves contractile properties through promoting unidirectional and synchronous cardiomyocyte contraction. Biomaterials 281, (2022).	2022.0	Selected	201B7	1	EB	Activin A, BMP4, bFGF	0-4	IWR1	4-6		Puromycin		Flow cytometry for cTnT+	89							Yes			Microgrooves		
Takeda, M. et al. Development of in vitro drug-induced cardiotoxicity assay by using three-dimensional cardiac tissues derived from human induced pluripotent stem cells. Tissue Eng Part C Methods 24, 56Â67 (2018).	2018.0	Top 100	253G1	1		Activin A, BMP4, bFGF	0-4	IWR1	4-6																Fibronectin/gelatin nano films	CM
Tamargo, M. A. et al. MilliPillar: A Platform for the Generation and Real-Time Assessment of Human Engineered Cardiac Tissues. ACS Biomater Sci Eng 7, 5215Â5229 (2021).	2021.0	Selected	WTC11, BS2	2	85	CHIR99021	0-2	Wnt-C59	2-4	10	No glucose	10-13	Flow cytometry for cTnT+	85			Yes	Yes	Yes						Fibrin or collagen	CM + SC
Tan, Y. et al. Cell number per spheroid and electrical conductivity of nanowires influence the function of silicon nanowired human cardiac spheroids. Acta Biomater 51, 495Â504 (2017).	2017.0	Randomized	iCell	1																				ECM-coated plastic/glass	Scaffold free	CM
Tan, Y. et al. Silicon nanowire-induced maturation of cardiomyocytes derived from human induced pluripotent stem cells. Nano Lett 15, 2765Â2772 (2015).	2015.0	Top 100	iCell	1																					Scaffold free	CM + NRCM
Tang, Y. et al. Induction and differentiation of human induced pluripotent stem cells into functional cardiomyocytes on a compartmented monolayer of gelatin nanofibers. Nanoscale 8, 14530Â14540 (2016).	2016.0	Selected	253G1	1		CHIR99021	0-1	IWP2	3-5	8			Flow cytometry for cTnT+	75							Yes			Electrospun fibers		
Thavandiran, N. et al. Functional arrays of human pluripotent stem cell-derived cardiac microtissues. Sci Rep 10, (2020).	2020.0	Selected	iPSCTF	1	90	CHIR99021	0-1	IWP2 and proprietary tankyrase inhibitor	3-5	5			Flow cytometry for cTnT+					Yes	Yes						Collagen	CM + SC
Thomas, T. et al. Extrusion 3D Printing of Porous Silicone Architectures for Engineering Human Cardiomyocyte-Infused Patches Mimicking Adult Heart Stiffness. ACS Appl Bio Mater 3, 5865Â5871 (2020).	2019.0	Selected	PGP1	1	85	CHIR99021	0-3	IWP4	3-4	9			Not listed	90							Yes				3D printed silicone macroporous silicone scaffold	CM
Tiburcy, M. et al. Defined engineered human myocardium with advanced maturation for applications in heart failure modeling and repair. Circulation 135, 1832Â1847 (2017).	2017.0	Top 100	BJ1, hiPS-G1	2		Activin A, BMP4, CHIR99021, bFGF	0-3	IWP4	4-13	17	No glucose and lactate	13-17	Flow cytometry for a-actinin+	94				Yes	Yes						Collagen + matrigel	CM + SC
Toepfer, C. N. et al. Myosin Sequestration Regulates Sarcomere Function, Cardiomyocyte Energetics, and Metabolism, Informing the Pathogenesis of Hypertrophic Cardiomyopathy. Circulation 828Â842 (2020). 	2020.0	Top 100	PGP1	1	90	CHIR99021	0-1	Wnt-C59	3-5	7	No glucose	9-11												ECM-coated plastic/glass		
Toepfer, C. N. et al. SarcTrack. Circ Res 124, 1172Â1183 (2019).	2019.0	Top 100	PGP1	1		CHIR99021	0-1	IWP4	3-5	7	No glucose with lactate	10-12												ECM-coated plastic/glass		
Tomov, M. L. et al. Distinct and Shared Determinants of Cardiomyocyte Contractility in Multi-Lineage Competent Ethnically Diverse Human iPSCs. Sci Rep 6, (2016).	2016.0	Randomized	in-house	1		CHIR99021	0-1	IWP2	3-5												Yes			Micropatterned PDMS		
Treat, J. A., Goodrow, R. J., Bot, C. T., Haedo, R. J. & Cordeiro, J. M. Pharmacological enhancement of repolarization reserve in human induced pluripotent stem cells derived cardiomyocytes. Biochem Pharmacol 169, (2019).	2019.0	Randomized	WiCell	1		CHIR99021	0-2	IWP2, KY0211	2-6	8	No glucose with lactate	12-14												MEA		
Tsui, J. H. et al. Tunable electroconductive decellularized extracellular matrix hydrogels for engineering human cardiac microphysiological systems. Biomaterials 272, (2021).	2021.0	Selected	UC3-4 A1	1		CHIR99021	0-1	IWP4	3-5	7			Flow cytometry for cTnT+	90			Conductive		Yes				Yes		Decellularized tissue	CM + SC
Tsukamoto, Y., Akagi, T. & Akashi, M. Vascularized cardiac tissue construction with orientation by layer-by-layer method and 3D printer. Sci Rep 10, (2020).	2020.0	Selected	253G1	1	EB	Activin A, BMP4, bFGF	0-2	IWR1, IWP2	2-4				IHC cTnT	90					Yes						3D printing, cell spheroids coated in fibronectin and gelatin solution	CM + EC + SC
Ulmer, B. M. et al. Contractile Work Contributes to Maturation of Energy Metabolism in hiPSC-Derived Cardiomyocytes. Stem Cell Reports 10, 834Â847 (2018).	2018.0	Top 100	C25, UKEi003-C	2	EB	Activin A, BMP4, bFGF	0-3	DS-I-7	3-6	6, not 9-12			Flow cytometry for cTnT+	77				Yes							Fibrin	CM
Uzun, A. U. et al. Ca2+-currents in human induced pluripotent stem cell-derived cardiomyocytes effects of two different culture conditions. Front Pharmacol 7, (2016).	2016.0	Selected	in-house	1	EB	Activin A, BMP4, bFGF	0-3	DS07																ECM-coated plastic/glass	Fibrin + matrigel	CM
Vaidyanathan, R. et al. I K1-enhanced human-induced pluripotent stem cell-derived cardiomyocytes: an improved cardiomyocyte model to investigate inherited arrhythmia syndromes. Am J Physiol Heart Circ Physiol 310, 1611Â1621 (2016).	2016.0	Top 100	iCell	1													Adenoviral transfection to enhance IK1 in hiPSC-CMs							ECM-coated plastic/glass		
Valarmathi, M. T., Fuseler, J. W., Davis, J. M. & Price, R. L. A novel human tissue-engineered 3-D functional vascularized cardiac muscle construct. Front Cell Dev Biol 5, (2017).	2017.0	Randomized	iCell	1																					Collagen	CM + EC + SC
Valls-Margarit, M. et al. Engineered Macroscale Cardiac Constructs Elicit Human Myocardial Tissue-like Functionality. Stem Cell Reports 13, 207Â220 (2019).	2019.0	Selected	ESi044-A	1	100	CHIR99021	0-1	IWP4	3-5	7			Flow cytometry for cTnI	72			Yes		Yes	Yes					Collagen + elastin 	CM + SC
van Meer, B. J. et al. Simultaneous measurement of excitation-contraction coupling parameters identifies mechanisms underlying contractile responses of hiPSC-derived cardiomyocytes. Nat Commun 10, (2019).	2019.0	Selected	Pluricyte	1																				ECM-coated plastic/glass		
Vannozzi, L. et al. Self-Folded Hydrogel Tubes for Implantable Muscular Tissue Scaffolds. Macromol Biosci 18, (2018).	2018.0	Top 100	Cor.4U	1																Yes		Yes			PEG	
Wang, C. et al. Maladaptive Contractility of 3D Human Cardiac Microtissues to Mechanical Nonuniformity. Adv Healthc Mater 9, (2020).	2020.0	Selected	WTC11	1		CHIR99021	0-1	IWP2	3-5	7, not 20-24	No glucose with lactate	20-24									Yes				3D filamentous matrices composed of three layers of micronscale parallel fibers	CM
Wang, J. et al. Graphene Sheet-Induced Global Maturation of Cardiomyocytes Derived from Human Induced Pluripotent Stem Cells. ACS Appl Mater Interfaces 9, 25929Â25940 (2017).	2017.0	Randomized	KB3, NC5	2	87.5	CHIR99021	0-1	IWR1	3-4								Conductive material							ECM-coated plastic/glass		
Wang, Q. et al. Functional engineered human cardiac patches prepared from natureÂs platform improve heart function after acute myocardial infarction. Biomaterials 105, 52Â65 (2016).	2016.0	Top 100	in-house	2	90	CHIR99021	0-1	IWR1	1-5	7			Flow cytometry for cTnT+	90											Decellularized tissue	CM + EC + SC
Wanjare, M. et al. Anisotropic microfibrous scaffolds enhance the organization and function of cardiomyocytes derived from induced pluripotent stem cells. Biomater Sci 5, 1567Â1578 (2017).	2017.0	Selected	P356	1		CHIR99021	0-2	IWR1	2-4	7	No glucose with lactate	9-15	IHC cTnT	80					Yes		Yes			Electrospun fibers		
Wei, L., Li, W., Entcheva, E. & Li, Z. Microfluidics-enabled 96-well perfusion system for high-throughput tissue engineering and long-term all-optical electrophysiology. Lab Chip 20, 4031Â4042 (2020).	2020.0	Randomized	iCell	1													Optical stimulation			Flow				ECM-coated plastic/glass		
Weinberger, F. et al. Cardiac repair in guinea pigs with human engineered heart tissue from induced pluripotent stem cells. Sci Trans Med 8, (2016).  	2016.0	Top 100	C25	1	EB	Activin A, BMP4, bFGF	0-3	DS-I-7	4-11	7			Flow cytometry for cTnT+, Flow cytometry for a-actinin+	83				Yes	Yes						Fibrin	CM + EC
Wendel, J. S. et al. Functional Effects of a Tissue-Engineered Cardiac Patch From Human Induced Pluripotent Stem Cell-Derived Cardiomyocytes in a Rat Infarct Model. Stem Cells Transl Med 4, 1324Â1332 (2015).	2015.0	Top 100	DF19-9-11T.H	1		CHIR99021	0-1	IWP2	3-5	8, not 19-23	No glucose with lactate	10-23	Flow cytometry for cTnT+	94					Yes						Fibrin	CM + SC
Weng, K. C. et al. Human Induced Pluripotent Stem-Cardiac-Endothelial-Tumor-on-a-Chip to Assess Anticancer Efficacy and Cardiotoxicity. Tissue Eng Part C Methods 26, 44Â55 (2020).	2020.0	Randomized	in-house	1		CHIR99021	0-2	IWP2	3-5	7, not 13-21	No glucose with lactate	13-21					Yes		Yes						Fibrin	CM + EC (+ tumor)
Wheelwright, M. et al. Investigation of human iPSC-derived cardiac myocyte functional maturation by single cell traction force microscopy. PLoS One 13, (2018).	2018.0	Selected	DF19-9-11T.H	1	90	CHIR99021	0-1	IWP4	3-5	7							Calcium concentration				Yes	Yes		Micropatterned PAA gel 		
Williams, K. et al. A 3-D human model of complex cardiac arrhythmias. Acta Biomater 132, 149Â161 (2021).	2021.0	Randomized	iCell, iPSC-CM Lonza	2														Yes	Yes						Fibrin + matrigel	CM + SC
Wnorowski, A. et al. Effects of Spaceflight on Human Induced Pluripotent Stem Cell-Derived Cardiomyocyte Structure and Function. Stem Cell Reports 13, 960Â969 (2019).	2019.0	Randomized	in-house	3	85	CHIR99021	0-2	IWR1	3-5	7	No glucose	9-12												ECM-coated plastic/glass		
Wong, A. O. T. et al. Correlation between frataxin expression and contractility revealed by in vitro FriedreichÂs ataxia cardiac tissue models engineered from human pluripotent stem cells. Stem Cell Res Ther 10, (2019).	2019.0	Randomized	PB02	1	EB	Activin A, BMP4	0-3	IWR1	4-7				Flow cytometry for cTnT+	77				Yes	Yes					Microgrooves	Collagen + matrigel	CM + SC
Wu, H. et al. Epigenetic Regulation of Phosphodiesterases 2A and 3A Underlies Compromised ?-Adrenergic Signaling in an iPSC Model of Dilated Cardiomyopathy. Cell Stem Cell 17, 89Â100 (2015).	2015.0	Top 100	in-house	3		CHIR99021	0-2	IWR1	3-5	7	No glucose	9-11	Flow cytometry for cTnT+	90										ECM-coated plastic/glass		
Wu, K. H. et al. Efficient generation of functional cardiomyocytes from human umbilical cord-derived virus-free induced pluripotent stem cells. Cell Tissue Res 374, 275Â283 (2018).	2018.0	Randomized	in-house	1	100	Activin A	0-1	BMP4, bFGF	1-5	5			IHC a-actinin and cTnT	80										ECM-coated plastic/glass		
Xu, C. et al. Bioinspired onion epithelium-like structure promotes the maturation of cardiomyocytes derived from human pluripotent stem cells. Biomater Sci 5, 1810Â1819 (2017).	2017.0	Selected	in-house	1	85	CHIR99021	0-1	IWP2	3-5	7											Yes			Micropatterned PDMS		
Xu, F. et al. MicroRNA-302d promotes the proliferation of human pluripotent stem cell-derived cardiomyocytes by inhibiting LATS2 in the Hippo pathway. Clin Sci 133, 1387Â1399 (2019).	2019.0	Randomized	Cellapy	1	85	CHIR99021	0-1	IWP2	3-5	7	No glucose													ECM-coated plastic/glass		
Yang, B. et al. A Net Mold-Based Method of Biomaterial-Free Three-Dimensional Cardiac Tissue Creation. Tissue Eng Part C Methods 25, 243Â252 (2019).	2019.0	Selected	in-house	1		CHIR99021		IWR1											Yes		Yes				Collagen	CM + EC + SC
Yassa, M. E., Mansour, I. A., Sewelam, N. I., Hamza, H. & Gaafar, T. The impact of growth factors on human induced pluripotent stem cells differentiation into cardiomyocytes. Life Sci 196, 38Â47 (2018).	2018.0	Randomized	UKKi011-A	1	85	Activin A, BMP4	0-3	IWP2	3-5		No glucose with lactate	13-16	Flow cytometry for cTnT+	92										MEA		
Yokota, M., Hatakeyama, H., Ono, Y., Kanazawa, M. & Goto, Y. I. Mitochondrial respiratory dysfunction disturbs neuronal and cardiac lineage commitment of human iPSCs. Cell Death Dis 8, (2017).	2017.0	Randomized	in-house	1		Activin A, BMP4, bFGF	0-5	DKK-1	6-12															ECM-coated plastic/glass		
Yoshida, S. et al. Maturation of Human Induced Pluripotent Stem Cell-Derived Cardiomyocytes by Soluble Factors from Human Mesenchymal Stem Cells. Molecular Therapy 26, 2681Â2695 (2018).	2018.0	Top 100	253G1	1	EB	Activin A, BMP4, bFGF	0-3	IWP3	3-7				Flow cytometry for cTnT+	78					Yes					ECM-coated plastic/glass		
Yoshida, S., Sumomozawa, K., Nagamine, K. & Nishizawa, M. Hydrogel Microchambers Integrated with Organic Electrodes for Efficient Electrical Stimulation of Human iPSC?Derived Cardiomyocytes. Macromol Biosci 19, 1900060 (2019).	2019.0	Randomized	ReproCardio2	1													Yes								Scaffold free	CM
Yu, C. et al. Scanningless and continuous 3D bioprinting of human tissues with decellularized extracellular matrix. Biomaterials 194, 1Â13 (2019).	2019.0	Top 100	HDF-Cat-106-K-05a-CellApplications , BJ1	2	85		0-2		2-4	4, not 12-18	No glucose with lactate	12-18									Yes		Yes		Decellularized tissue	CM
Zaunbrecher, R. J. et al. Cronos titin is expressed in human cardiomyocytes and necessary for normal sarcomere function. Circulation 140, 1647Â1660 (2019).	2019.0	Randomized	WTC11	1		Activin A, BMP4, CHIR99021	0-3	XAV939	3-5	7, not 18-22	No glucose with lactate	18-22	Flow cytometry for cTnT+	96				yes	Yes					Micropatterned plastic/glass	Fibrin	CM + SC
Zhang, F. et al. Design and fabrication of an integrated heart-on-a-chip platform for construction of cardiac tissue from human iPSC-derived cardiomyocytes and in situ evaluation of physiological function. Biosens Bioelectron 179, (2021).	2021.0	Selected	Cellapy	1	70		0-2		2-4	4			Visual inspection	80			Yes			Flow					Gelatin	CM
Zhang, J. Z. et al. A Human iPSC Double-Reporter System Enables Purification of Cardiac Lineage Subpopulations with Distinct Function and Drug Response Profiles. Cell Stem Cell 24, 802-811.e5 (2019).	2019.0	Top 100	SCVI	2	85	CHIR99021	0-1	IWR1	3-5	7	No glucose	11-14	Flow cytometry for cTnT+											ECM-coated plastic/glass		
Zhang, K. et al. Plakophilin-2 truncating variants impair cardiac contractility by disrupting sarcomere stability and organization. Sci. Adv 7, (2021). 	2021.0	Selected	PGP1, WTC11	2		CHIR99021	0-1	IWP4	3-5	13	No glucose with lactate	9-13						Yes	Yes		Yes	Yes		ECM-coated plastic/glass	Fibrin + matrigel	CM + SC
Zhang, L. et al. Derivation and high engraftment of patient-specific cardiomyocyte sheet using induced pluripotent stem cells generated from adult cardiac fibroblast. Circ Heart Fail 8, 156Â166 (2015).	2015.0	Top 100	in-house	3		Activin A	0-1	BMP4, bFGF	1-5	5			Flow cytometry for cTnT+	90										ECM-coated plastic/glass		
Zhang, M. et al. Universal cardiac induction of human pluripotent stem cells in two and three-dimensional formats: Implications for in vitro maturation. Stem Cells 33, 1456Â1469 (2015).	2015.0	Top 100	in-house	3	100	CHIR99021, BMP4	0-1	IWP2	2-3															ECM-coated plastic/glass	Scaffold free	CM
Zhang, Y. S. et al. Bioprinting 3D microfibrous scaffolds for engineering endothelialized myocardium and heart-on-a-chip. Biomaterials 110, 45Â59 (2016).	2016.0	Top 100	Stem Cell Theranostics CMs	1															Yes	Flow	Yes				gelMA+alginate, 3D printing	CM + EC
Zhao, Y. et al. A Platform for Generation of Chamber-Specific Cardiac Tissues and Disease Modeling. Cell 176, 913-927.e18 (2019).	2019.0	Top 100	BJ1, C2A, iCell, iCell2, CDI(3)	7	100; EB	Activin A, BMP4; CHIR99021	0-1	IWP2 or IWP4	3-5	7			Flow cytometry for cTnT+	75			Yes	Yes	Yes						Collagen + matrigel	CM + SC
Zhao, Y. et al. Engineering microenvironment for human cardiac tissue assembly in heart-on-a-chip platform. Matrix Biology 85Â86, 189Â204 (2020).	2020.0	Randomized	BJ1	1	85	CHIR99021	0-1	IWP2	3-5	7			Flow cytometry for cTnT+	75			Yes	Yes	Yes						Collagen + fibrin + matrigel	CM + SC
Ziegler, N. et al. AMPKb1 and AMPKb2 define an isoform-specific gene signature in human pluripotent stem cells, differentially mediating cardiac lineage specification. Journal of Biological Chemistry 295, 17659Â17671 (2020).	2020.0	Randomized	ASE-9202	1		StemCell Differentiation kit	0-4		6-8	8	No glucose with lactate	10-12	Western blot for cTnT	30										ECM-coated plastic/glass		
Zuppinger, C. et al. Characterization of cytoskeleton features and maturation status of cultured human iPSC-derived cardiomyocytes. European Journal of Histochemistry 61, 145Â153 (2017).	2017.0	Randomized	ax2505	1																				ECM-coated plastic/glass		
